fips,cases,deaths
21173.0,415,0
21175.0,30,0
21177.0,5619,108
21179.0,675,0
21181.0,45,0
21183.0,1330,0
21185.0,943,0
21187.0,14,0
21189.0,64,0
21191.0,175,0
21193.0,274,0
21195.0,299,54
21197.0,44,0
21199.0,1430,71
21203.0,373,0
21205.0,63,0
21207.0,474,70
21209.0,1076,0
21211.0,981,76
21213.0,876,70
21215.0,389,0
21217.0,222,0
21219.0,348,0
21221.0,192,0
21223.0,74,0
21225.0,279,0
21227.0,8183,18
21229.0,164,0
21231.0,257,0
21233.0,644,0
21235.0,293,0
21239.0,662,0
22001.0,4696,276
22003.0,3116,314
22005.0,21403,1228
22007.0,5983,132
22009.0,2673,181
22011.0,1378,83
22013.0,2208,369
22015.0,9767,474
22017.0,51880,3043
22019.0,13513,821
22021.0,853,0
22023.0,89,0
22025.0,1237,72
22027.0,1906,202
22029.0,1071,98
22031.0,6356,368
22033.0,63304,3857
22035.0,225,0
22037.0,3748,361
22039.0,1802,12
22041.0,3683,80
22043.0,511,0
22045.0,7924,519
22047.0,13216,872
22049.0,1000,43
22051.0,224250,11185
22053.0,2005,169
22055.0,16573,629
22057.0,21942,1232
22059.0,694,0
22061.0,2469,162
22063.0,6754,383
22065.0,209,0
22067.0,1580,113
22069.0,2374,100
22071.0,248347,14151
22073.0,21559,529
22075.0,6311,525
22077.0,2970,346
22079.0,9104,319
22081.0,776,135
22083.0,1797,7
22085.0,501,14
22087.0,16641,571
22089.0,19421,1227
22091.0,830,26
22093.0,9153,610
22095.0,26013,2203
22097.0,5752,1059
22099.0,7639,512
22101.0,6229,520
22103.0,43079,3026
22105.0,17859,648
22107.0,55,0
22109.0,13805,912
22111.0,3534,192
22113.0,1249,51
22115.0,595,45
22117.0,8427,548
22119.0,3058,144
22121.0,3493,561
22123.0,132,0
22125.0,3589,71
22127.0,924,71
23001.0,1756,44
23003.0,134,0
23005.0,18080,775
23007.0,707,17
23009.0,272,4
23011.0,3289,168
23013.0,549,0
23015.0,548,0
23017.0,643,0
23019.0,2191,0
23021.0,23,0
23023.0,720,4
23025.0,515,0
23027.0,1435,294
23029.0,66,0
23031.0,7506,215
24001.0,2697,168
24003.0,51038,2308
24005.0,85630,3163
24009.0,4846,212
24011.0,2099,0
24013.0,14265,1467
24015.0,5268,211
24017.0,17007,1063
24019.0,1462,50
24021.0,26594,1432
24023.0,193,0
24025.0,11606,359
24027.0,26070,565
24029.0,1914,122
24031.0,131340,6298
24033.0,177119,6214
24035.0,1568,132
24037.0,4876,152
24039.0,706,0
24041.0,1092,38
24043.0,5829,121
24045.0,9591,203
24047.0,1822,41
24510.0,64963,2826
