FIPS,%_african_american,%_natamer_alaskan,%_asian,%_hawaii_pacisl,%_hisp,%_nonhisp_white
9013,3.2,0.3,4.6,0.1,5.4,85.0
9015,1.8,0.7,1.5,0.1,11.5,83.1
10001,24.6,0.7,2.3,0.1,6.9,62.4
10003,24.2,0.4,5.6,0.1,9.8,58.2
10005,12.1,1.2,1.3,0.1,9.3,75.0
11001,46.1,0.6,4.1,0.2,10.9,36.4
12001,20.0,0.3,6.0,0.1,9.4,62.0
12003,13.7,0.4,0.7,0.0,2.5,81.3
12005,10.9,0.8,2.3,0.2,6.3,77.0
12007,18.9,0.5,0.6,0.1,4.0,74.3
12009,10.0,0.5,2.4,0.1,9.9,75.2
12011,28.0,0.4,3.8,0.1,28.7,37.7
12013,12.7,1.3,0.8,0.1,5.8,77.5
12015,5.6,0.3,1.4,0.1,6.9,84.5
12017,2.8,0.4,1.6,0.0,5.4,88.5
12019,10.5,0.5,3.1,0.2,9.6,73.8
12021,6.7,0.5,1.4,0.1,27.0,63.8
12023,17.8,0.6,1.0,0.1,6.0,72.9
12027,12.2,1.1,0.8,0.2,31.1,54.8
12029,9.6,0.5,0.4,0.0,4.2,83.8
12031,29.3,0.4,4.9,0.1,9.2,53.9
12033,22.5,0.9,3.2,0.2,5.6,64.8
12035,10.2,0.4,2.4,0.1,10.3,75.2
12037,13.6,0.8,0.4,0.1,5.3,78.3
12039,55.3,0.6,0.7,0.1,10.2,32.7
12041,4.6,0.7,0.6,0.1,5.6,87.5
12043,12.5,5.6,0.6,0.1,21.4,60.4
12045,18.0,0.6,0.6,0.0,4.7,74.6
12047,33.1,1.0,0.8,0.0,9.1,54.9
12049,6.9,1.1,1.1,0.1,43.4,47.2
12051,11.4,2.2,1.0,0.2,52.0,33.4
12053,5.0,0.5,1.3,0.1,12.4,79.4
12055,9.6,0.7,1.5,0.1,19.1,68.1
12057,15.9,0.5,4.2,0.1,27.6,50.3
12059,6.5,0.9,0.7,0.2,2.8,87.0
12061,8.9,0.5,1.5,0.0,12.0,76.0
12063,26.3,0.8,0.7,0.2,4.8,65.8
12065,34.2,0.5,0.6,0.0,4.2,59.4
12067,14.5,0.8,0.3,0.1,12.5,71.0
12069,9.9,0.6,2.3,0.2,14.7,71.2
12071,8.1,0.5,1.7,0.1,20.5,68.3
12073,31.0,0.3,3.6,0.1,6.2,57.0
12075,9.0,0.7,0.7,0.1,8.3,80.1
12077,18.8,1.2,0.4,0.0,6.8,71.8
12079,38.2,0.7,0.4,0.0,4.9,54.7
12081,8.5,0.5,2.2,0.1,16.1,71.6
12083,12.5,0.5,1.7,0.1,12.5,71.4
12085,5.2,1.0,1.4,0.2,13.2,79.0
12086,16.2,0.3,1.6,0.0,67.7,13.8
12087,6.1,0.5,1.4,0.1,23.0,67.7
12089,5.8,0.5,1.0,0.1,4.2,87.3
12091,9.5,0.7,3.2,0.2,8.7,74.4
12093,8.3,1.5,1.1,0.1,25.5,63.2
12095,20.3,0.6,5.6,0.2,30.5,41.6
12097,9.6,0.8,2.9,0.2,52.3,33.7
12099,18.3,0.6,2.8,0.1,21.5,56.0
12101,5.1,0.4,2.5,0.1,14.3,76.1
12103,10.4,0.4,3.5,0.1,9.3,74.8
12105,14.5,0.6,1.9,0.1,21.1,60.6
12107,15.9,0.7,0.6,0.2,9.8,71.7
12109,5.2,0.3,2.9,0.1,6.6,83.4
12111,19.3,0.5,1.9,0.1,18.3,58.5
12113,6.2,0.9,2.1,0.2,5.4,82.7
12115,4.4,0.3,1.7,0.1,8.9,83.6
12117,11.1,0.4,4.5,0.1,20.4,62.0
12119,7.2,0.4,0.9,0.1,5.5,85.3
12121,12.9,0.7,0.7,0.1,9.1,75.6
12123,19.6,0.9,0.9,0.0,4.2,72.7
12125,22.3,0.6,0.6,0.0,5.8,69.3
12127,10.3,0.5,1.9,0.1,13.0,72.8
12129,13.9,0.7,0.7,0.1,3.8,79.3
12131,5.3,0.8,1.2,0.2,6.1,84.4
12133,14.9,1.4,0.6,0.1,3.6,77.6
13001,18.7,0.6,0.9,0.2,9.6,69.5
13003,16.5,1.4,0.9,1.1,25.2,56.2
13005,16.1,0.3,0.6,0.2,8.7,73.1
13007,45.0,0.4,1.1,0.1,5.6,47.0
13009,42.0,0.3,1.8,0.1,2.2,52.6
13011,2.6,0.5,1.3,0.2,6.7,87.8
13013,11.3,0.5,3.7,0.1,10.3,72.7
13015,10.6,0.6,0.9,0.1,8.5,78.1
13017,35.2,0.7,0.9,0.1,6.1,56.5
13019,10.3,0.4,1.1,0.1,5.1,82.3
13021,54.4,0.3,2.0,0.1,3.2,38.8
13023,26.4,0.2,1.2,0.0,2.8,68.3
13025,3.2,0.4,0.3,0.0,2.1,92.4
